ds,yhat,company,model
1997-11-11,-4.182266386849853,Amazon,Prophet
1997-11-12,-3.5105614071572617,Amazon,Prophet
1997-11-13,-3.940477538438463,Amazon,Prophet
1997-11-14,-6.000082668561443,Amazon,Prophet
1997-11-17,-5.134140235653525,Amazon,Prophet
1997-11-18,-2.939757216087175,Amazon,Prophet
1997-11-19,-1.9999516368709118,Amazon,Prophet
1997-11-20,-2.2165497245921273,Amazon,Prophet
1997-11-21,-4.120788529510841,Amazon,Prophet
1997-11-24,-3.1487840957766826,Amazon,Prophet
1997-11-25,-1.036730148316508,Amazon,Prophet
1997-11-26,-0.23385175855385398,Amazon,Prophet
1997-11-28,-2.7744221267288083,Amazon,Prophet
1997-12-01,-2.70685274254199,Amazon,Prophet
1997-12-02,-0.9412491923061843,Amazon,Prophet
1997-12-03,-0.49447507082956577,Amazon,Prophet
1997-12-04,-1.2563104097039197,Amazon,Prophet
1997-12-05,-3.745138408399619,Amazon,Prophet
1997-12-08,-4.6286626739509025,Amazon,Prophet
1997-12-09,-3.1244244074825467,Amazon,Prophet
1997-12-10,-2.9028066851149266,Amazon,Prophet
1997-12-11,-3.849897126673058,Amazon,Prophet
1997-12-12,-6.481361380253276,Amazon,Prophet
1997-12-15,-7.524964036977384,Amazon,Prophet
1997-12-16,-5.98570474856502,Amazon,Prophet
1997-12-17,-5.687640168689743,Amazon,Prophet
1997-12-18,-6.519755415976327,Amazon,Prophet
1997-12-19,-9.00130422725683,Amazon,Prophet
1997-12-22,-9.429235143407046,Amazon,Prophet
1997-12-23,-7.6457031387197265,Amazon,Prophet
1997-12-24,-7.092333351944916,Amazon,Prophet
1997-12-26,-9.88215991423627,Amazon,Prophet
1997-12-29,-9.557406263359544,Amazon,Prophet
1997-12-30,-7.546080045506258,Amazon,Prophet
1997-12-31,-6.780668952724977,Amazon,Prophet
1998-01-02,-9.1990280013161,Amazon,Prophet
1998-01-05,-8.450930897736912,Amazon,Prophet
1998-01-06,-6.330480243207983,Amazon,Prophet
1998-01-07,-5.4688947095595175,Amazon,Prophet
1998-01-08,-5.759307469736138,Amazon,Prophet
1998-01-09,-7.72397012695048,Amazon,Prophet
1998-01-12,-6.763346448779039,Amazon,Prophet
1998-01-13,-4.570298839664993,Amazon,Prophet
1998-01-14,-3.631574554255833,Amazon,Prophet
1998-01-15,-3.8386947989358298,Amazon,Prophet
1998-01-16,-5.712808311836778,Amazon,Prophet
1998-01-20,-2.123184522411501,Amazon,Prophet
1998-01-21,-1.0623105328891551,Amazon,Prophet
1998-01-22,-1.1463283014530283,Amazon,Prophet
1998-01-23,-2.899541926522293,Amazon,Prophet
1998-01-26,-1.3100525281581543,Amazon,Prophet
1998-01-27,1.0742381421430416,Amazon,Prophet
1998-01-28,2.184819897452817,Amazon,Prophet
1998-01-29,2.123214009855351,Amazon,Prophet
1998-01-30,0.36100642192385557,Amazon,Prophet
1998-02-02,1.700131900784422,Amazon,Prophet
1998-02-03,3.917716076509432,Amazon,Prophet
1998-02-04,4.817344186113404,Amazon,Prophet
1998-02-05,4.5001913597364425,Amazon,Prophet
1998-02-06,2.4383871600610423,Amazon,Prophet
1998-02-09,2.633524616937631,Amazon,Prophet
1998-02-10,4.398859127858849,Amazon,Prophet
1998-02-11,4.818245982150309,Amazon,Prophet
1998-02-12,3.9984223466413855,Amazon,Prophet
1998-02-13,1.4176600295884878,Amazon,Prophet
1998-02-17,1.275432412052476,Amazon,Prophet
1998-02-18,1.1977363684921798,Amazon,Prophet
1998-02-19,-0.09391428799145984,Amazon,Prophet
1998-02-20,-3.114897923709327,Amazon,Prophet
1998-02-23,-5.583131219819917,Amazon,Prophet
1998-02-24,-4.596047980949461,Amazon,Prophet
1998-02-25,-4.8831649387810945,Amazon,Prophet
1998-02-26,-6.329235166391181,Amazon,Prophet
1998-02-27,-9.448822933867417,Amazon,Prophet
1998-03-02,-11.883509368331746,Amazon,Prophet
1998-03-03,-10.781505281406224,Amazon,Prophet
1998-03-04,-10.9066811962165,Amazon,Prophet
